dim	coefficient
101	-0.054633567176302356
102	-0.055025370515212044
103	-0.16082319774478931
104	-0.12122820936736602
105	-0.004415774082714097
106	-0.07516549354751992
107	-0.07157172211060062
108	-0.17849567249526072
109	-0.10714489178679391
110	-0.024075176174612516
111	-0.11819981489225428
112	-0.08810423217259154
113	0.02972080703560946
114	-0.06623257710853428
115	-0.066274886633907
116	-0.1320431637384141
117	-0.0421620040107825
118	-0.05772566132954096
119	-0.07071835526468712
120	-0.09154768689128034
121	-0.10588289731958232
122	-0.06517518380583368
123	-0.023566659283464537
124	-0.00649260947418703
125	-0.07634148420793652
126	-0.08051771265973535
127	-0.11165840450432413
128	-0.053291192215079004
129	-0.010823918123022205
130	-0.04520266453335841
131	-0.14177594452244077
132	-0.030388944884343558
133	-0.13435424122419656
134	0.010923476064593388
135	-0.03953253839440869
136	-0.05177390745786732
137	-0.05767528244090313
138	-0.10256232407036489
139	-0.0458836127774083
140	-0.05718010736736299
141	-0.06052183002752718
142	-0.08703290837336708
143	-0.06379029828219539
144	-0.044898388314641324
145	-0.05823847205784685
146	-0.09909619321787737
147	0.02165866591315046
148	0.014295628548707128
149	-0.05013290208459898
150	-0.046247827890314785
151	-0.07920440555611072
152	-0.09485573394039337
153	-0.12916550668126386
154	-0.03869758681330734
155	-0.08801042913682638
156	-0.03573355095989154
157	-0.12306674952888044
158	-0.04339434383649707
159	-0.12268342999569881
160	-0.007493839133555195
161	-0.07688059761309013
162	0.004017532171630624
163	-0.0060080310996670355
164	-0.07552882468592614
165	-0.060026143601532606
166	-0.08765757471220846
167	0.08155180535434439
168	0.029928067148125147
169	0.05224242746906579
170	-0.00879900992336247
171	-0.07321579607013731
172	-0.023868038845354694
173	-0.030189932025702006
174	-0.018239990234494637
175	-0.0794474003593115
176	-0.1476869751697613
177	-0.138669938592958
178	-0.07136054063971997
179	-0.02087832150287098
180	-0.08661849238269269
181	-0.07070999911477543
182	0.0036167632972214057
183	-0.11547355550514142
184	-0.06615653102120654
185	-0.07652492023892117
186	-0.022893807656848647
187	0.0011991455916572774
188	-0.025294133742178617
189	-0.07362645328245389
190	-0.07291747968537553
191	0.002800655891984173
192	-0.07120892412860462
193	-0.098276604357607
194	-0.02512501135172495
195	-0.10209656292284465
196	0.008313787732259388
197	-0.04176751900907756
198	-0.0889929636122053
199	0.02702821931975151
200	-0.14165858803362852
201	-0.05432035564944725
202	-0.024740650385207164
203	-0.003778062941143058
204	-0.0016466050181530266
205	-0.128288838190112
206	-0.057473071942892216
207	-0.09101402625459072
208	-0.06368043259412459
209	-0.13191235386973976
210	-0.08915222650939877
211	-0.06987864202578568
212	-0.005608976947293884
213	-0.13194143143228063
214	-0.07619712309750569
215	-0.20815462791833456
216	-0.004639941294121101
217	-0.03189633342281604
218	-0.04664141010842267
219	-0.11257554920957347
220	-0.10735071839732038
221	-0.1056469356130505
222	-0.026935709900345425
223	-0.054996763102596054
224	-0.06716978944818659
225	-0.04863227315167041
226	-0.09072290525376117
227	-0.1431981342646904
228	-0.08733038695914924
229	-0.12353510671028832
230	0.008131610793696176
231	-0.07821856851269184
232	-0.15765950538038553
233	-0.11258304982900616
234	-0.015112702293524662
235	-0.08539355064609216
236	-0.06626070812152549
237	0.000761930806524154
238	-0.04530942892006945
239	-0.02799701753694805
240	-0.07982540066740615
241	-0.08981937633344812
242	-0.14757402733283725
243	-0.14898266130438112
244	-0.029295052387740914
245	-0.05873375302658501
246	-0.11196524075028791
247	-0.030982403605446178
248	-0.1105685271579937
249	-0.13383772627388096
250	-0.02881067694897049
251	-0.06117095992890571
252	-0.10235186924053917
